Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,6,10637296,2,60,0.009010553359985352,0.003989458084106445,43,70,27,43,43,70,27,43,0.0,min,True
2,96372106,6,10637297,2,60,4.520276308059692,0.001993894577026367,42,64,22,42,42,64,22,42,0.0,min,True
3,96372106,6,10637298,2,60,1.632767677307129,0.001994609832763672,48,74,26,48,48,74,26,48,0.0,min,True
4,96372106,6,10637299,2,60,62.94720387458801,0.001994609832763672,54,79,25,54,54,79,25,54,0.0,min,True
5,96372106,6,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,min,True
6,96372106,6,10637301,2,60,0.3371241092681885,0.0029921531677246094,40,62,22,40,40,62,22,40,0.0,min,True
7,96372106,6,10637302,2,60,34.694145917892456,0.002992391586303711,62,100,38,62,62,100,38,62,0.0,min,True
8,96372106,6,10637303,2,60,0.002019166946411133,0.0019948482513427734,33,59,26,33,33,59,26,33,0.0,min,True
9,96372106,6,10637304,2,60,0.10376286506652832,0.001995086669921875,43,67,24,43,43,67,24,43,0.0,min,True
10,96372106,6,10637305,2,60,7.513899803161621,0.001994609832763672,50,71,21,50,50,71,21,50,0.0,min,True
11,96372106,6,10637306,2,60,0.4996638298034668,0.003989219665527344,45,78,33,45,45,78,33,45,0.0,min,True
12,96372106,6,10637307,2,60,92.05367159843445,0.0029921531677246094,58,94,36,58,58,94,36,58,0.0,min,True
13,96372106,6,10637308,2,60,1.5468432903289795,0.0019943714141845703,50,81,31,50,50,81,31,50,0.0,min,True
14,96372106,6,10637309,2,60,0.5714950561523438,0.001995086669921875,44,65,21,44,44,65,21,44,0.0,min,True
15,96372106,6,10637310,2,60,59.87484383583069,0.0029959678649902344,60,94,34,60,60,94,34,60,0.0,min,True
16,96372106,6,10637311,2,60,0.0019922256469726562,0.0019941329956054688,47,75,28,47,47,75,28,47,0.0,min,True
17,96372106,6,10637312,2,60,0.1874990463256836,0.002991914749145508,35,60,25,35,35,60,25,35,0.0,min,True
18,96372106,6,10637313,2,60,3.1874375343322754,0.0029914379119873047,52,78,26,52,52,78,26,52,0.0,min,True
19,96372106,6,10637314,2,60,53.362358808517456,0.005983829498291016,53,87,34,53,53,87,34,53,0.0,min,True
20,96372106,6,10637315,2,60,0.05587959289550781,0.001995086669921875,51,91,40,51,51,91,40,51,0.0,min,True
21,96372106,6,10637316,2,60,12.58932089805603,0.002991914749145508,64,94,30,64,64,94,30,64,0.0,min,True
22,96372106,6,10637317,2,60,0.031939029693603516,0.005983591079711914,46,68,22,46,46,68,22,46,0.0,min,True
23,96372106,6,10637318,2,60,0.03787374496459961,0.0029921531677246094,33,57,24,33,33,57,24,33,0.0,min,True
24,96372106,6,10637319,2,60,1.5179598331451416,0.0029926300048828125,55,98,43,55,55,98,43,55,0.0,min,True
25,96372106,6,10637320,2,60,0.03191423416137695,0.001995563507080078,34,53,19,34,34,53,19,34,0.0,min,True
26,96372106,6,10637321,2,60,0.2673356533050537,0.001994609832763672,39,61,22,39,39,61,22,39,0.0,min,True
27,96372106,6,10637322,2,60,0.039864301681518555,0.0019948482513427734,42,67,25,42,42,67,25,42,0.0,min,True
28,96372106,6,10637323,2,60,0.05082511901855469,0.0019943714141845703,44,70,26,44,44,70,26,44,0.0,min,True
29,96372106,6,10637324,2,60,0.10274863243103027,0.0019948482513427734,40,58,18,40,40,58,18,40,0.0,min,True
30,96372106,6,10637325,2,60,0.06984949111938477,0.002992391586303711,41,63,22,41,41,63,22,41,0.0,min,True
31,96372106,6,10637326,2,60,13.89981484413147,0.0029921531677246094,58,87,29,58,58,87,29,58,0.0,min,True
32,96372106,6,10637327,2,60,0.012965202331542969,0.0009975433349609375,47,75,28,47,47,75,28,47,0.0,min,True
