Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,2,10637296,2,60,0.022450923919677734,0.6492311954498291,234,395,161,309,309,309,0,309,1.0,uniform,False
2,96372106,2,10637297,2,60,2.948185682296753,9.076709747314453,341,596,255,466,478,478,0,478,1.0,uniform,False
3,96372106,2,10637298,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
4,96372106,2,10637299,2,60,0.12366771697998047,3.6851048469543457,435,764,329,611,611,611,0,611,1.0,uniform,False
5,96372106,2,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
6,96372106,2,10637301,2,60,0.9275734424591064,3.057102680206299,299,525,226,409,413,413,0,413,1.0,uniform,False
7,96372106,2,10637302,2,60,0.013990640640258789,0.6083786487579346,210,375,165,287,287,287,0,287,1.0,uniform,False
8,96372106,2,10637303,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
9,96372106,2,10637304,2,60,0.05189228057861328,6.800806522369385,397,687,290,542,542,542,0,542,1.0,uniform,False
10,96372106,2,10637305,2,60,0.06382918357849121,4.6263816356658936,425,755,330,591,591,591,0,591,1.0,uniform,False
11,96372106,2,10637306,2,60,0.00899505615234375,0.26825594902038574,121,207,86,168,168,168,0,168,1.0,uniform,False
12,96372106,2,10637307,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
13,96372106,2,10637308,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
14,96372106,2,10637309,2,60,0.0039882659912109375,0.10073041915893555,74,121,47,98,98,98,0,98,1.0,uniform,False
15,96372106,2,10637310,2,60,0.010967254638671875,0.5814437866210938,147,265,118,221,221,221,0,221,1.0,uniform,False
16,96372106,2,10637311,2,60,0.015975475311279297,0.8866336345672607,217,360,143,296,296,296,0,296,1.0,uniform,False
17,96372106,2,10637312,2,60,0.11170673370361328,9.500678539276123,480,845,365,662,662,662,0,662,1.0,uniform,False
18,96372106,2,10637313,2,60,0.013024568557739258,0.9025864601135254,158,288,130,224,224,224,0,224,1.0,uniform,False
19,96372106,2,10637314,2,60,0.008013248443603516,0.18649935722351074,116,215,99,165,165,165,0,165,1.0,uniform,False
20,96372106,2,10637315,2,60,0.08278656005859375,7.088038444519043,439,801,362,611,611,611,0,611,1.0,uniform,False
21,96372106,2,10637316,2,60,0.02792525291442871,0.565523624420166,185,329,144,260,260,260,0,260,1.0,uniform,False
22,96372106,2,10637317,2,60,4.982647180557251,15.964624881744385,455,784,329,624,630,630,0,630,1.0,uniform,False
23,96372106,2,10637318,2,60,0.0860133171081543,4.72630500793457,397,728,331,567,567,567,0,567,1.0,uniform,False
24,96372106,2,10637319,2,60,0.12321305274963379,6.151578187942505,432,770,338,604,604,604,0,604,1.0,uniform,False
25,96372106,2,10637320,2,60,0.06883907318115234,3.2543323040008545,386,685,299,535,535,535,0,535,1.0,uniform,False
26,96372106,2,10637321,2,60,158.04990148544312,25.203569650650024,310,544,234,423,416,416,0,416,1.0,uniform,False
27,96372106,2,10637322,2,60,0.03587913513183594,2.0605132579803467,321,543,222,445,445,445,0,445,1.0,uniform,False
28,96372106,2,10637323,2,60,0.0948038101196289,5.958388805389404,451,791,340,638,638,638,0,638,1.0,uniform,False
29,96372106,2,10637324,2,60,0.0718071460723877,6.781856060028076,524,909,385,708,708,708,0,708,1.0,uniform,False
30,96372106,2,10637325,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
31,96372106,2,10637326,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
32,96372106,2,10637327,2,60,0.07480120658874512,8.45435118675232,473,843,370,659,659,659,0,659,1.0,uniform,False
33,96372106,2,10637328,2,60,0.058843135833740234,3.131619930267334,360,628,268,498,498,498,0,498,1.0,uniform,False
34,96372106,2,10637329,2,60,0.12765860557556152,8.23693037033081,470,835,365,657,657,657,0,657,1.0,uniform,False
35,96372106,2,10637330,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
36,96372106,2,10637331,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
37,96372106,2,10637332,2,60,0.019945859909057617,0.7160520553588867,235,420,185,334,334,334,0,334,1.0,uniform,False
38,96372106,2,10637333,2,60,0.07779169082641602,9.586337089538574,533,951,418,757,757,757,0,757,1.0,uniform,False
39,96372106,2,10637334,2,60,1.1509034633636475,6.231317043304443,366,611,245,495,495,495,0,495,1.0,uniform,False
40,96372106,2,10637335,2,60,0.03889584541320801,2.325803518295288,355,637,282,493,493,493,0,493,1.0,uniform,False
41,96372106,2,10637336,2,60,0.020943880081176758,1.2955338954925537,295,506,211,397,397,397,0,397,1.0,uniform,False
42,96372106,2,10637337,2,60,0.014959573745727539,0.4687464237213135,199,348,149,281,281,281,0,281,1.0,uniform,False
43,96372106,2,10637338,2,60,0.0469050407409668,3.7778918743133545,344,597,253,474,474,474,0,474,1.0,uniform,False
44,96372106,2,10637339,2,60,71.40595746040344,14.794740438461304,341,549,208,439,445,445,0,445,1.0,uniform,False
45,96372106,2,10637340,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
46,96372106,2,10637341,2,60,0.018948793411254883,0.9653942584991455,243,410,167,323,323,323,0,323,1.0,uniform,False
47,96372106,2,10637342,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
48,96372106,2,10637343,2,60,0.01694178581237793,0.9833636283874512,243,406,163,329,329,329,0,329,1.0,uniform,False
49,96372106,2,10637344,2,60,0.01798868179321289,1.0581746101379395,268,453,185,366,366,366,0,366,1.0,uniform,False
50,96372106,2,10637345,2,60,0.05781745910644531,5.310768365859985,459,810,351,610,610,610,0,610,1.0,uniform,False
