Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,5,10637296,0,60,0.013962507247924805,0.013963937759399414,169,169,0,169,169,169,0,169,0.5,max,Min Best Case,True
2,96372106,5,10637297,0,60,0.0069811344146728516,0.0070345401763916016,180,180,0,180,180,180,0,180,0.5,max,Min Best Case,True
3,96372106,5,10637298,0,60,0.0169527530670166,0.007978200912475586,146,146,0,146,146,146,0,146,0.5,max,Min Best Case,True
4,96372106,5,10637299,0,60,0.046877384185791016,0.010970592498779297,155,155,0,155,155,155,0,155,0.5,max,Min Best Case,True
5,96372106,5,10637300,0,60,0.4557802677154541,0.008975744247436523,183,183,0,183,183,183,0,183,0.5,max,Min Best Case,True
6,96372106,5,10637301,0,60,0.0827782154083252,0.009968757629394531,121,121,0,121,121,121,0,121,0.5,max,Min Best Case,True
7,96372106,5,10637302,0,60,0.026927947998046875,0.013962507247924805,135,135,0,135,135,135,0,135,0.5,max,Min Best Case,True
8,96372106,5,10637303,0,60,0.005983114242553711,0.006981849670410156,130,130,0,130,130,130,0,130,0.5,max,Min Best Case,True
9,96372106,5,10637304,0,60,0.00399017333984375,0.003988981246948242,85,85,0,85,85,85,0,85,0.5,max,Min Best Case,True
10,96372106,5,10637305,0,60,0.008973836898803711,0.007016658782958984,149,149,0,149,149,149,0,149,0.5,max,Min Best Case,True
11,96372106,5,10637306,0,60,0.01495981216430664,0.00498652458190918,102,102,0,102,102,102,0,102,0.5,max,Min Best Case,True
12,96372106,5,10637307,0,60,0.007924318313598633,0.00997304916381836,184,184,0,184,184,184,0,184,0.5,max,Min Best Case,True
13,96372106,5,10637308,0,60,0.006978273391723633,0.00997304916381836,189,189,0,189,189,189,0,189,0.5,max,Min Best Case,True
14,96372106,5,10637309,0,60,0.010009288787841797,0.0069811344146728516,127,127,0,127,127,127,0,127,0.5,max,Min Best Case,True
15,96372106,5,10637310,0,60,0.014920949935913086,0.007978677749633789,124,124,0,124,124,124,0,124,0.5,max,Min Best Case,True
16,96372106,5,10637311,0,60,0.009971857070922852,0.007978200912475586,136,136,0,136,136,136,0,136,0.5,max,Min Best Case,True
17,96372106,5,10637312,0,60,0.005983591079711914,0.009066104888916016,154,154,0,154,154,154,0,154,0.5,max,Min Best Case,True
18,96372106,5,10637313,0,60,0.01994919776916504,0.008975982666015625,192,192,0,192,192,192,0,192,0.5,max,Min Best Case,True
19,96372106,5,10637314,0,60,0.007959604263305664,0.009972810745239258,175,175,0,175,175,175,0,175,0.5,max,Min Best Case,True
20,96372106,5,10637315,0,60,0.006982326507568359,0.00900578498840332,126,126,0,126,126,126,0,126,0.5,max,Min Best Case,True
21,96372106,5,10637316,0,60,0.00995945930480957,0.011967897415161133,209,209,0,209,209,209,0,209,0.5,max,Min Best Case,True
22,96372106,5,10637317,0,60,0.01896071434020996,0.009972333908081055,168,168,0,168,168,168,0,168,0.5,max,Min Best Case,True
23,96372106,5,10637318,0,60,0.004999637603759766,0.004986763000488281,87,87,0,87,87,87,0,87,0.5,max,Min Best Case,True
24,96372106,5,10637319,0,60,0.009880542755126953,0.005917549133300781,111,111,0,111,111,111,0,111,0.5,max,Min Best Case,True
25,96372106,5,10637320,0,60,0.00698399543762207,0.008975505828857422,166,166,0,166,166,166,0,166,0.5,max,Min Best Case,True
26,96372106,5,10637321,0,60,0.09296321868896484,0.006981372833251953,171,171,0,171,171,171,0,171,0.5,max,Min Best Case,True
27,96372106,5,10637322,0,60,0.030953645706176758,0.008975744247436523,126,126,0,126,126,126,0,126,0.5,max,Min Best Case,True
28,96372106,5,10637323,0,60,0.014959573745727539,0.008976221084594727,206,206,0,206,206,206,0,206,0.5,max,Min Best Case,True
29,96372106,5,10637324,0,60,0.47425127029418945,0.008007049560546875,131,131,0,131,131,131,0,131,0.5,max,Min Best Case,True
30,96372106,5,10637325,0,60,0.011666059494018555,0.00598454475402832,136,136,0,136,136,136,0,136,0.5,max,Min Best Case,True
31,96372106,5,10637326,0,60,0.003988981246948242,0.004987001419067383,108,108,0,108,108,108,0,108,0.5,max,Min Best Case,True
32,96372106,5,10637327,0,60,0.03692126274108887,0.0069811344146728516,151,151,0,151,151,151,0,151,0.5,max,Min Best Case,True
33,96372106,5,10637328,0,60,0.004986763000488281,0.012964725494384766,121,121,0,121,121,121,0,121,0.5,max,Min Best Case,True
34,96372106,5,10637329,0,60,0.011968135833740234,0.003993034362792969,90,90,0,90,90,90,0,90,0.5,max,Min Best Case,True
35,96372106,5,10637330,0,60,0.007982492446899414,0.00997304916381836,106,106,0,106,106,106,0,106,0.5,max,Min Best Case,True
36,96372106,5,10637331,0,60,0.0039882659912109375,0.007942438125610352,108,108,0,108,108,108,0,108,0.5,max,Min Best Case,True
37,96372106,5,10637332,0,60,0.006285667419433594,0.010970115661621094,141,141,0,141,141,141,0,141,0.5,max,Min Best Case,True
38,96372106,5,10637333,0,60,0.006014108657836914,0.008034467697143555,135,135,0,135,135,135,0,135,0.5,max,Min Best Case,True
39,96372106,5,10637334,0,60,0.019954204559326172,0.01303863525390625,160,160,0,160,160,160,0,160,0.5,max,Min Best Case,True
40,96372106,5,10637335,0,60,0.1546034812927246,0.007988691329956055,151,151,0,151,151,151,0,151,0.5,max,Min Best Case,True
41,96372106,5,10637336,0,60,0.008975744247436523,0.007979869842529297,146,146,0,146,146,146,0,146,0.5,max,Min Best Case,True
42,96372106,5,10637337,0,60,0.07381343841552734,0.007384061813354492,101,101,0,101,101,101,0,101,0.5,max,Min Best Case,True
43,96372106,5,10637338,0,60,0.010970115661621094,0.009996414184570312,109,109,0,109,109,109,0,109,0.5,max,Min Best Case,True
44,96372106,5,10637339,0,60,0.21308159828186035,0.010950326919555664,173,173,0,173,173,173,0,173,0.5,max,Min Best Case,True
45,96372106,5,10637340,0,60,0.008924722671508789,0.010958194732666016,136,136,0,136,136,136,0,136,0.5,max,Min Best Case,True
46,96372106,5,10637341,0,60,0.01296544075012207,0.00997304916381836,198,198,0,198,198,198,0,198,0.5,max,Min Best Case,True
47,96372106,5,10637342,0,60,0.010053157806396484,0.010970354080200195,156,156,0,156,156,156,0,156,0.5,max,Min Best Case,True
48,96372106,5,10637343,0,60,0.005938053131103516,0.010970592498779297,139,139,0,139,139,139,0,139,0.5,max,Min Best Case,True
49,96372106,5,10637344,0,60,0.017920732498168945,0.00897359848022461,140,140,0,140,140,140,0,140,0.5,max,Min Best Case,True
50,96372106,5,10637345,0,60,0.01194453239440918,0.007973432540893555,191,191,0,191,191,191,0,191,0.5,max,Min Best Case,True
