Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,3,10637296,2,60,0.005993843078613281,0.009970903396606445,28,49,21,36,36,36,0,36,0.5,uniform,False
2,96372106,3,10637297,2,60,0.0009891986846923828,0.003962993621826172,17,34,17,25,25,26,1,25,0.5,uniform,False
3,96372106,3,10637298,2,60,0.5296335220336914,0.004986763000488281,30,50,20,42,40,46,6,44,0.5,uniform,False
4,96372106,3,10637299,2,60,0.01896047592163086,0.004986286163330078,28,44,16,36,36,38,2,36,0.5,uniform,False
5,96372106,3,10637300,2,60,0.013996601104736328,0.004986286163330078,26,45,19,33,29,32,3,31,0.5,uniform,False
6,96372106,3,10637301,2,60,0.007978439331054688,0.009972810745239258,31,49,18,36,35,35,0,35,0.5,uniform,False
7,96372106,3,10637302,2,60,0.01399087905883789,0.008976221084594727,30,53,23,40,40,40,0,40,0.5,uniform,False
8,96372106,3,10637303,2,60,0.000997304916381836,0.0019948482513427734,16,28,12,23,18,25,7,23,0.5,uniform,False
9,96372106,3,10637304,2,60,0.012005090713500977,0.004986763000488281,25,40,15,36,35,37,2,36,0.5,uniform,False
10,96372106,3,10637305,2,60,0.023970842361450195,0.00498652458190918,26,42,16,32,31,34,3,32,0.5,uniform,False
11,96372106,3,10637306,2,60,0.0009746551513671875,0.0029921531677246094,12,19,7,17,13,17,4,17,0.5,uniform,False
12,96372106,3,10637307,2,60,0.00499272346496582,0.00498652458190918,24,45,21,34,35,35,0,35,0.5,uniform,False
13,96372106,3,10637308,2,60,0.005984067916870117,0.004986763000488281,21,36,15,28,26,30,4,28,0.5,uniform,False
14,96372106,3,10637309,2,60,0.004986763000488281,0.0069811344146728516,22,37,15,31,30,32,2,31,0.5,uniform,False
15,96372106,3,10637310,2,60,0.001955747604370117,0.0069811344146728516,27,49,22,40,39,40,1,40,0.5,uniform,False
16,96372106,3,10637311,2,60,0.000997304916381836,0.002992868423461914,21,30,9,26,26,26,0,26,0.5,uniform,False
17,96372106,3,10637312,2,60,0.0079803466796875,0.0029914379119873047,18,31,13,27,26,27,1,27,0.5,uniform,False
18,96372106,3,10637313,2,60,0.7250697612762451,0.016954421997070312,30,51,21,43,41,44,3,43,0.5,uniform,False
19,96372106,3,10637314,2,60,0.03992605209350586,0.0049784183502197266,25,40,15,35,34,35,1,34,0.5,uniform,False
20,96372106,3,10637315,2,60,0.0009980201721191406,0.001995086669921875,16,28,12,21,18,23,5,21,0.5,uniform,False
21,96372106,3,10637316,2,60,0.013960838317871094,0.006955146789550781,26,41,15,34,34,34,0,34,0.5,uniform,False
22,96372106,3,10637317,2,60,0.0009987354278564453,0.006981849670410156,26,42,16,31,30,32,2,31,0.5,uniform,False
23,96372106,3,10637318,2,60,0.0009641647338867188,0.00498652458190918,17,33,16,26,25,26,1,26,0.5,uniform,False
24,96372106,3,10637319,2,60,0.0009677410125732422,0.003988742828369141,19,38,19,32,28,34,6,32,0.5,uniform,False
25,96372106,3,10637320,2,60,0.0,0.002991199493408203,13,22,9,15,15,17,2,15,0.5,uniform,False
26,96372106,3,10637321,2,60,0.000997781753540039,0.002992868423461914,20,33,13,27,26,30,4,27,0.5,uniform,False
27,96372106,3,10637322,2,60,0.0029916763305664062,0.003988742828369141,15,22,7,18,17,17,0,17,0.5,uniform,False
28,96372106,3,10637323,2,60,0.019968271255493164,0.018949031829833984,24,37,13,29,29,29,0,29,0.5,uniform,False
29,96372106,3,10637324,2,60,0.000997304916381836,0.0029921531677246094,13,24,11,18,13,20,7,18,0.5,uniform,False
30,96372106,3,10637325,2,60,0.003988504409790039,0.0029914379119873047,16,29,13,23,21,24,3,23,0.5,uniform,False
31,96372106,3,10637326,2,60,0.25035667419433594,0.0069811344146728516,28,44,16,35,36,40,4,37,0.5,uniform,False
32,96372106,3,10637327,2,60,0.0049512386322021484,0.004986763000488281,23,35,12,26,26,30,4,26,0.5,uniform,False
33,96372106,3,10637328,2,60,0.009973287582397461,0.00498652458190918,27,39,12,30,31,32,1,31,0.5,uniform,False
34,96372106,3,10637329,2,60,0.0009970664978027344,0.00498652458190918,22,31,9,28,28,28,0,28,0.5,uniform,False
35,96372106,3,10637330,2,60,0.0009891986846923828,0.0009980201721191406,10,16,6,12,12,13,1,12,0.5,uniform,False
36,96372106,3,10637331,2,60,0.0010006427764892578,0.003989458084106445,21,36,15,32,26,34,8,32,0.5,uniform,False
37,96372106,3,10637332,2,60,0.0010004043579101562,0.0009975433349609375,13,22,9,16,16,16,0,16,0.5,uniform,False
38,96372106,3,10637333,2,60,0.005000114440917969,0.014961481094360352,20,35,15,28,28,28,0,28,0.5,uniform,False
39,96372106,3,10637334,2,60,0.0009975433349609375,0.003989219665527344,21,32,11,29,26,30,4,29,0.5,uniform,False
40,96372106,3,10637335,2,60,0.0,0.0019948482513427734,6,10,4,8,6,10,4,8,0.5,uniform,False
41,96372106,3,10637336,2,60,0.013022184371948242,0.0059740543365478516,27,46,19,34,32,33,1,33,0.5,uniform,False
42,96372106,3,10637337,2,60,0.023937463760375977,0.003988981246948242,24,35,11,27,26,29,3,27,0.5,uniform,False
43,96372106,3,10637338,2,60,0.03889584541320801,0.013961553573608398,30,43,13,35,34,34,0,34,0.5,uniform,False
44,96372106,3,10637339,2,60,0.025931358337402344,0.040854692459106445,19,31,12,27,27,27,0,27,0.5,uniform,False
45,96372106,3,10637340,2,60,0.0039899349212646484,0.002992391586303711,19,31,12,24,24,25,1,24,0.5,uniform,False
46,96372106,3,10637341,2,60,0.0009958744049072266,0.002990245819091797,17,30,13,23,23,23,0,23,0.5,uniform,False
47,96372106,3,10637342,2,60,0.01096200942993164,0.006001710891723633,20,31,11,25,25,27,2,25,0.5,uniform,False
48,96372106,3,10637343,2,60,0.0010311603546142578,0.003011941909790039,16,29,13,22,21,25,4,22,0.5,uniform,False
49,96372106,3,10637344,2,60,0.0039520263671875,0.003989696502685547,17,30,13,23,22,26,4,23,0.5,uniform,False
