Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,3,10637296,2,60,0.0024056434631347656,0.0008788108825683594,29,44,15,44,29,44,15,44,0.0,max,Min Worst Case,True
2,96372106,3,10637297,2,60,0.0005881786346435547,0.0005762577056884766,17,34,17,34,17,34,17,34,0.0,max,Min Worst Case,True
3,96372106,3,10637298,2,60,0.03917074203491211,0.0008411407470703125,30,50,20,50,30,50,20,50,0.0,max,Min Worst Case,True
4,96372106,3,10637299,2,60,0.0020542144775390625,0.0008451938629150391,28,44,16,44,28,44,16,44,0.0,max,Min Worst Case,True
5,96372106,3,10637300,2,60,0.0019311904907226562,0.0008668899536132812,26,45,19,45,26,45,19,45,0.0,max,Min Worst Case,True
6,96372106,3,10637301,2,60,0.0026483535766601562,0.0010483264923095703,31,47,16,47,31,47,16,47,0.0,max,Min Worst Case,True
7,96372106,3,10637302,2,60,0.0037603378295898438,0.000896453857421875,31,48,17,48,31,48,17,48,0.0,max,Min Worst Case,True
8,96372106,3,10637303,2,60,0.0005521774291992188,0.0006625652313232422,16,28,12,28,16,28,12,28,0.0,max,Min Worst Case,True
9,96372106,3,10637304,2,60,0.0035924911499023438,0.0008137226104736328,26,39,13,39,26,39,13,39,0.0,max,Min Worst Case,True
10,96372106,3,10637305,2,60,0.010899066925048828,0.0007698535919189453,28,41,13,41,28,41,13,41,0.0,max,Min Worst Case,True
11,96372106,3,10637306,2,60,0.0003991127014160156,0.00042128562927246094,12,19,7,19,12,19,7,19,0.0,max,Min Worst Case,True
12,96372106,3,10637307,2,60,0.0030095577239990234,0.0006933212280273438,26,41,15,41,26,41,15,41,0.0,max,Min Worst Case,True
13,96372106,3,10637308,2,60,0.0015201568603515625,0.0007512569427490234,21,36,15,36,21,36,15,36,0.0,max,Min Worst Case,True
14,96372106,3,10637309,2,60,0.00141143798828125,0.0008411407470703125,22,37,15,37,22,37,15,37,0.0,max,Min Worst Case,True
15,96372106,3,10637310,2,60,0.0009272098541259766,0.0009570121765136719,27,49,22,49,27,49,22,49,0.0,max,Min Worst Case,True
16,96372106,3,10637311,2,60,0.0006186962127685547,0.0006797313690185547,21,30,9,30,21,30,9,30,0.0,max,Min Worst Case,True
17,96372106,3,10637312,2,60,0.0018041133880615234,0.0007236003875732422,19,32,13,32,19,32,13,32,0.0,max,Min Worst Case,True
18,96372106,3,10637313,2,60,0.05191349983215332,0.0010218620300292969,30,51,21,51,30,51,21,51,0.0,max,Min Worst Case,True
19,96372106,3,10637314,2,60,0.006974935531616211,0.0007700920104980469,25,40,15,40,25,40,15,40,0.0,max,Min Worst Case,True
20,96372106,3,10637315,2,60,0.0005445480346679688,0.0004937648773193359,16,28,12,28,16,28,12,28,0.0,max,Min Worst Case,True
21,96372106,3,10637316,2,60,0.003168344497680664,0.0007703304290771484,26,41,15,41,26,41,15,41,0.0,max,Min Worst Case,True
22,96372106,3,10637317,2,60,0.0009002685546875,0.0008635520935058594,26,42,16,42,26,42,16,42,0.0,max,Min Worst Case,True
23,96372106,3,10637318,2,60,0.0006701946258544922,0.0007474422454833984,17,33,16,33,17,33,16,33,0.0,max,Min Worst Case,True
24,96372106,3,10637319,2,60,0.0006606578826904297,0.0007395744323730469,19,38,19,38,19,38,19,38,0.0,max,Min Worst Case,True
25,96372106,3,10637320,2,60,0.0004031658172607422,0.0004856586456298828,13,22,9,22,13,22,9,22,0.0,max,Min Worst Case,True
26,96372106,3,10637321,2,60,0.0006172657012939453,0.0005807876586914062,20,33,13,33,20,33,13,33,0.0,max,Min Worst Case,True
27,96372106,3,10637322,2,60,0.0008649826049804688,0.0005457401275634766,15,22,7,22,15,22,7,22,0.0,max,Min Worst Case,True
28,96372106,3,10637323,2,60,0.0050466060638427734,0.001172780990600586,24,37,13,37,24,37,13,37,0.0,max,Min Worst Case,True
29,96372106,3,10637324,2,60,0.0005021095275878906,0.0006477832794189453,13,24,11,24,13,24,11,24,0.0,max,Min Worst Case,True
30,96372106,3,10637325,2,60,0.0011744499206542969,0.0006999969482421875,16,26,10,26,16,26,10,26,0.0,max,Min Worst Case,True
31,96372106,3,10637326,2,60,0.031736135482788086,0.0009396076202392578,28,44,16,44,28,44,16,44,0.0,max,Min Worst Case,True
32,96372106,3,10637327,2,60,0.00110626220703125,0.0006663799285888672,23,35,12,35,23,35,12,35,0.0,max,Min Worst Case,True
33,96372106,3,10637328,2,60,0.0017764568328857422,0.0006239414215087891,28,35,7,35,28,35,7,35,0.0,max,Min Worst Case,True
34,96372106,3,10637329,2,60,0.0007338523864746094,0.0008404254913330078,22,31,9,31,22,31,9,31,0.0,max,Min Worst Case,True
35,96372106,3,10637330,2,60,0.00036716461181640625,0.0004105567932128906,10,16,6,16,10,16,6,16,0.0,max,Min Worst Case,True
36,96372106,3,10637331,2,60,0.0006208419799804688,0.0006234645843505859,21,36,15,36,21,36,15,36,0.0,max,Min Worst Case,True
37,96372106,3,10637332,2,60,0.00047659873962402344,0.0004749298095703125,13,22,9,22,13,22,9,22,0.0,max,Min Worst Case,True
38,96372106,3,10637333,2,60,0.005872488021850586,0.0006051063537597656,22,35,13,35,22,35,13,35,0.0,max,Min Worst Case,True
39,96372106,3,10637334,2,60,0.0006465911865234375,0.0006864070892333984,21,32,11,32,21,32,11,32,0.0,max,Min Worst Case,True
40,96372106,3,10637335,2,60,0.00028228759765625,0.0004298686981201172,6,10,4,10,6,10,4,10,0.0,max,Min Worst Case,True
41,96372106,3,10637336,2,60,0.008467674255371094,0.0009944438934326172,29,44,15,44,29,44,15,44,0.0,max,Min Worst Case,True
42,96372106,3,10637337,2,60,0.008911371231079102,0.0006651878356933594,24,35,11,35,24,35,11,35,0.0,max,Min Worst Case,True
43,96372106,3,10637338,2,60,0.003436565399169922,0.0008916854858398438,30,45,15,45,30,45,15,45,0.0,max,Min Worst Case,True
44,96372106,3,10637339,2,60,0.010274171829223633,0.0006935596466064453,19,31,12,31,19,31,12,31,0.0,max,Min Worst Case,True
45,96372106,3,10637340,2,60,0.0010917186737060547,0.0006914138793945312,19,31,12,31,19,31,12,31,0.0,max,Min Worst Case,True
46,96372106,3,10637341,2,60,0.0006268024444580078,0.0006108283996582031,17,30,13,30,17,30,13,30,0.0,max,Min Worst Case,True
47,96372106,3,10637342,2,60,0.02719259262084961,0.0007882118225097656,20,31,11,31,20,31,11,31,0.0,max,Min Worst Case,True
48,96372106,3,10637343,2,60,0.0005879402160644531,0.0006361007690429688,16,29,13,29,16,29,13,29,0.0,max,Min Worst Case,True
49,96372106,3,10637344,2,60,0.002172231674194336,0.0006854534149169922,17,30,13,30,17,30,13,30,0.0,max,Min Worst Case,True
50,96372106,3,10637345,2,60,0.002613067626953125,0.0008020401000976562,27,51,24,51,27,51,24,51,0.0,max,Min Worst Case,True
