Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,1646771798,4, 1755279002, 0,300,27.683193922042847, 16.46161127090454, 292, 292, 292, 292, 937, 91913
2,1646771798,4, 2052038740, 0,300,3.8534977436065674, 3.9000916481018066, 262, 262, 262, 262, 438, 25047
3,1646771798,4, 1419201711, 0,300,-1, -2, -1, -1, -1, -1, -1, -1
4,1646771798,4, 646820658, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
5,1646771798,4, 1166673215, 0,300,0.009975194931030273, 0.07280373573303223, 189, 189, 189, 189, 1, 386
6,1646771798,4, 1213495113, 0,300,10.970960855484009, -1, 285, 285, -1, -1, 69, -1
7,1646771798,4, 575072805, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
8,1646771798,4, 1823404168, 0,300,135.72435975074768, 28.631493091583252, 188, 188, 188, 188, 11686, 180843
9,1646771798,4, 1636418611, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
10,1646771798,4, 1373925624, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
11,1646771798,4, 709912308, 0,300,2.4877684116363525, 2.205098867416382, 221, 221, 221, 221, 241, 14477
12,1646771798,4, 1033432975, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
13,1646771798,4, 726625259, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
14,1646771798,4, 910506347, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
16,1646771798,4, 1790363090, 0,300,0.005978822708129883, 0.03789377212524414, 116, 116, 116, 116, 1, 219
17,1646771798,4, 1111495716, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
18,1646771798,4, 928585448, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
19,1646771798,4, 593684494, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
20,1646771798,4, 1374146369, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
21,1646771798,4, 1535321317, 0,300,57.50622868537903, 9.744256019592285, 153, 153, 153, 153, 4822, 66141
22,1646771798,4, 1453382793, 0,300,-1, 59.37922120094299, -1, -1, 267, 267, -1, 406970
23,1646771798,4, 1587041320, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
24,1646771798,4, 937872336, 0,300,-1, 107.58966016769409, -1, -1, 192, 192, -1, 696779
25,1646771798,4, 353474828, 0,300,-1, 22.819012880325317, -1, -1, 264, 264, -1, 157049
26,1646771798,4, 1499931337, 0,300,0.01401662826538086, 0.10569596290588379, 220, 220, 220, 220, 1, 516
27,1646771798,4, 167615735, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
28,1646771798,4, 196130365, 0,300,-1, 172.0575041770935, -1, -1, 460, 460, -1, 1109122
29,1646771798,4, 148474340, 0,300,98.60146927833557, 48.763638734817505, 464, 464, 464, 464, 3564, 332914
30,1646771798,4, 1074525026, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
31,1646771798,4, 1903219410, 0,300,-1, -2, -1, -1, -1, -1, -1, -1
32,1646771798,4, 106819130, 0,300,-1, -2, -1, -1, -1, -1, -1, -1
33,1646771798,4, 2066341327, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
34,1646771798,4, 1499104202, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
35,1646771798,4, 253990602, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
36,1646771798,4, 334508602, 0,300,0.004992246627807617, 0.03789925575256348, 94, 94, 94, 94, 1, 221
37,1646771798,4, 725037000, 0,300,-1, -2, -1, -1, -1, -1, -1, -1
38,1646771798,4, 142202550, 0,300,0.008951187133789062, 0.040923357009887695, 189, 189, 189, 189, 1, 270
39,1646771798,4, 396435518, 0,300,47.65275502204895, 21.83738136291504, 411, 411, 411, 411, 1913, 138875
40,1646771798,4, 1691011570, 0,300,0.04684162139892578, 0.17656302452087402, 250, 250, 250, 250, 4, 1079
42,1646771798,4, 1010999174, 0,300,20.200011253356934, -1, 284, 284, -1, -1, 80, -1
43,1646771798,4, 609154238, 0,300,-1, -2, -1, -1, -1, -1, -1, -1
44,1646771798,4, 1870173075, 0,300,-1, -2, -1, -1, -1, -1, -1, -1
45,1646771798,4, 1861664091, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
46,1646771798,4, 1957263875, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
47,1646771798,4, 1668505736, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
48,1646771798,4, 16985795, 0,300,18.635449647903442, -1, 374, 374, -1, -1, 93, -1
49,1646771798,4, 138397914, 0,300,-1, -2, -1, -1, -1, -1, -1, -1
50,1646771798,4, 1183471793, 0,300,19.17672300338745, -1, 297, 297, -1, -1, 110, -1

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 8.980524616241455, 38.0%, 94.78 to 94.78, 1.0
ODA-queue, 15.834903321266175, 38.0%, 93.6 to 93.6, 1.7632492530145112
