Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Communication
1,96372106,8,10637296,1,60,0.10871052742004395,51,64,13,57,56,59,3,57,0.25,False
2,96372106,8,10637297,1,60,0.2722926139831543,58,71,13,65,62,67,5,65,0.25,False
3,96372106,8,10637298,1,60,0.23234200477600098,56,65,9,62,59,63,4,62,0.25,False
4,96372106,8,10637299,1,60,1.2167444229125977,61,79,18,70,66,72,6,69,0.25,False
5,96372106,8,10637300,1,60,0.3221421241760254,65,81,16,70,67,75,8,68,0.25,False
6,96372106,8,10637301,1,60,0.04484367370605469,44,62,18,57,50,61,11,57,0.25,False
7,96372106,8,10637302,1,60,0.5575277805328369,68,83,15,77,74,80,6,77,0.25,False
8,96372106,8,10637303,1,60,0.018984556198120117,47,60,13,54,50,59,9,54,0.25,False
9,96372106,8,10637304,1,60,0.07685112953186035,38,53,15,45,42,47,5,45,0.25,False
10,96372106,8,10637305,1,60,5.982050895690918,52,65,13,60,57,60,3,60,0.25,False
11,96372106,8,10637306,1,60,0.23339629173278809,55,72,17,61,59,64,5,60,0.25,False
12,96372106,8,10637307,1,60,0.12861943244934082,54,75,21,66,60,71,11,66,0.25,False
13,96372106,8,10637308,1,60,0.17953991889953613,65,83,18,77,73,77,4,77,0.25,False
14,96372106,8,10637309,1,60,0.09474849700927734,50,65,15,59,56,62,6,59,0.25,False
15,96372106,8,10637310,1,60,4.537823915481567,61,78,17,73,70,73,3,72,0.25,False
16,96372106,8,10637311,1,60,0.019946575164794922,53,69,16,57,54,62,8,57,0.25,False
17,96372106,8,10637312,1,60,0.3800389766693115,47,58,11,52,51,55,4,52,0.25,False
18,96372106,8,10637313,1,60,0.14359569549560547,58,72,14,65,62,66,4,65,0.25,False
19,96372106,8,10637314,1,60,0.4647674560546875,60,80,20,68,66,70,4,68,0.25,False
20,96372106,8,10637315,1,60,0.2004687786102295,69,91,22,80,76,85,9,80,0.25,False
21,96372106,8,10637316,1,60,0.2922239303588867,68,88,20,80,76,80,4,80,0.25,False
22,96372106,8,10637317,1,60,0.04188942909240723,58,77,19,70,70,74,4,70,0.25,False
23,96372106,8,10637318,1,60,0.025927305221557617,41,54,13,46,44,48,4,46,0.25,False
24,96372106,8,10637319,1,60,5.739607334136963,67,80,13,72,70,73,3,72,0.25,False
25,96372106,8,10637320,1,60,0.02393341064453125,40,53,13,47,47,50,3,47,0.25,False
26,96372106,8,10637321,1,60,0.0488431453704834,47,64,17,58,55,62,7,58,0.25,False
27,96372106,8,10637322,1,60,0.2413802146911621,59,71,12,67,63,69,6,67,0.25,False
28,96372106,8,10637323,1,60,0.4168856143951416,61,75,14,72,68,73,5,72,0.25,False
29,96372106,8,10637324,1,60,0.07480168342590332,42,52,10,48,47,51,4,48,0.25,False
30,96372106,8,10637325,1,60,0.23237848281860352,52,67,15,57,53,64,11,57,0.25,False
31,96372106,8,10637326,1,60,0.6293430328369141,69,85,16,73,72,76,4,73,0.25,False
32,96372106,8,10637327,1,60,0.08078503608703613,48,61,13,54,53,58,5,54,0.25,False
33,96372106,8,10637328,1,60,0.05086350440979004,56,71,15,63,61,69,8,63,0.25,False
34,96372106,8,10637329,1,60,0.1376042366027832,52,68,16,55,54,63,9,55,0.25,False
35,96372106,8,10637330,1,60,0.8277871608734131,62,77,15,68,67,74,7,68,0.25,False
36,96372106,8,10637331,1,60,0.1226966381072998,42,53,11,45,42,47,5,45,0.25,False
37,96372106,8,10637332,1,60,0.021915197372436523,38,52,14,45,42,47,5,45,0.25,False
38,96372106,8,10637333,1,60,0.2274172306060791,54,68,14,61,58,63,5,59,0.25,False
39,96372106,8,10637334,1,60,0.09576988220214844,52,74,22,65,58,68,10,65,0.25,False
40,96372106,8,10637335,1,60,0.09472179412841797,44,54,10,49,46,53,7,49,0.25,False
41,96372106,8,10637336,1,60,0.78891921043396,70,85,15,78,74,81,7,78,0.25,False
42,96372106,8,10637337,1,60,0.04686903953552246,44,59,15,50,48,52,4,50,0.25,False
43,96372106,8,10637338,1,60,2.1492152214050293,60,69,9,64,62,64,2,64,0.25,False
44,96372106,8,10637339,1,60,2.887308120727539,68,86,18,74,71,78,7,74,0.25,False
45,96372106,8,10637340,1,60,0.24532055854797363,50,59,9,56,54,59,5,56,0.25,False
46,96372106,8,10637341,1,60,0.02788996696472168,47,65,18,61,56,64,8,61,0.25,False
47,96372106,8,10637342,1,60,0.03387141227722168,51,69,18,57,55,59,4,57,0.25,False
48,96372106,8,10637343,1,60,0.011968374252319336,41,55,14,51,44,55,11,51,0.25,False
49,96372106,8,10637344,1,60,0.2742316722869873,53,67,14,59,57,62,5,59,0.25,False
50,96372106,8,10637345,1,60,0.7130680084228516,64,79,15,72,69,74,5,72,0.25,False
