Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Communication
1,96372106,5,10637296,2,60,0.022208452224731445,41,61,20,52,50,53,3,52,0.5,False
2,96372106,5,10637297,2,60,0.01595759391784668,28,46,18,38,37,40,3,38,0.5,False
3,96372106,5,10637298,2,60,0.7321810722351074,44,69,25,55,54,55,1,55,0.5,False
4,96372106,5,10637299,2,60,0.8859057426452637,47,69,22,58,56,59,3,58,0.5,False
5,96372106,5,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,False
6,96372106,5,10637301,2,60,0.04791712760925293,38,56,18,51,47,51,4,51,0.5,False
7,96372106,5,10637302,2,60,0.32992124557495117,59,91,32,83,79,85,6,83,0.5,False
8,96372106,5,10637303,2,60,0.0049860477447509766,30,53,23,40,39,44,5,40,0.5,False
9,96372106,5,10637304,2,60,0.047872066497802734,37,52,15,45,43,45,2,45,0.5,False
10,96372106,5,10637305,2,60,0.23345541954040527,42,64,22,48,48,51,3,48,0.5,False
11,96372106,5,10637306,2,60,0.00863957405090332,36,66,30,49,49,50,1,49,0.5,False
12,96372106,5,10637307,2,60,0.1502232551574707,46,64,18,56,53,59,6,55,0.5,False
13,96372106,5,10637308,2,60,0.049010515213012695,38,61,23,48,41,54,13,48,0.5,False
14,96372106,5,10637309,2,60,0.08534622192382812,40,56,16,43,43,44,1,43,0.5,False
15,96372106,5,10637310,2,60,6.693408966064453,54,82,28,72,62,75,13,70,0.5,False
16,96372106,5,10637311,2,60,0.007100343704223633,36,58,22,47,44,50,6,47,0.5,False
17,96372106,5,10637312,2,60,0.034087419509887695,29,49,20,39,37,39,2,39,0.5,False
18,96372106,5,10637313,2,60,1.1770119667053223,45,68,23,53,53,56,3,53,0.5,False
19,96372106,5,10637314,2,60,0.2966790199279785,39,62,23,47,45,51,6,47,0.5,False
20,96372106,5,10637315,2,60,0.017217397689819336,40,72,32,47,46,50,4,47,0.5,False
21,96372106,5,10637316,2,60,0.05788254737854004,54,76,22,63,59,64,5,63,0.5,False
22,96372106,5,10637317,2,60,0.012002229690551758,35,52,17,42,42,42,0,42,0.5,False
23,96372106,5,10637318,2,60,0.014024734497070312,31,49,18,41,37,48,11,41,0.5,False
24,96372106,5,10637319,2,60,0.14101958274841309,42,73,31,62,59,64,5,62,0.5,False
25,96372106,5,10637320,2,60,0.03402304649353027,30,48,18,39,38,42,4,39,0.5,False
26,96372106,5,10637321,2,60,0.008012056350708008,30,50,20,44,39,44,5,44,0.5,False
27,96372106,5,10637322,2,60,0.3406956195831299,32,53,21,41,39,43,4,41,0.5,False
28,96372106,5,10637323,2,60,0.09198832511901855,40,62,22,51,49,50,1,50,0.5,False
29,96372106,5,10637324,2,60,0.014587640762329102,30,43,13,38,35,38,3,38,0.5,False
30,96372106,5,10637325,2,60,0.02302718162536621,29,44,15,41,37,42,5,41,0.5,False
31,96372106,5,10637326,2,60,0.4746239185333252,43,65,22,56,50,57,7,56,0.5,False
32,96372106,5,10637327,2,60,0.02625107765197754,41,64,23,52,50,52,2,52,0.5,False
33,96372106,5,10637328,2,60,0.05333423614501953,50,70,20,60,60,60,0,60,0.5,False
34,96372106,5,10637329,2,60,0.03810429573059082,41,63,22,54,51,56,5,54,0.5,False
35,96372106,5,10637330,2,60,0.0059947967529296875,27,46,19,42,40,43,3,42,0.5,False
36,96372106,5,10637331,2,60,0.1597611904144287,27,50,23,38,36,42,6,38,0.5,False
37,96372106,5,10637332,2,60,0.20147085189819336,34,51,17,43,40,44,4,42,0.5,False
38,96372106,5,10637333,2,60,0.2010340690612793,41,60,19,53,52,53,1,53,0.5,False
39,96372106,5,10637334,2,60,0.012001752853393555,39,61,22,49,44,52,8,49,0.5,False
40,96372106,5,10637335,2,60,0.002992868423461914,17,23,6,23,22,23,1,23,0.5,False
41,96372106,5,10637336,2,60,0.0987086296081543,52,82,30,70,63,70,7,70,0.5,False
42,96372106,5,10637337,2,60,0.0569610595703125,34,50,16,45,42,47,5,45,0.5,False
43,96372106,5,10637338,2,60,0.07558321952819824,43,59,16,52,51,53,2,52,0.5,False
44,96372106,5,10637339,2,60,8.3603994846344,38,56,18,48,46,48,2,48,0.5,False
45,96372106,5,10637340,2,60,0.06478452682495117,35,60,25,48,43,48,5,48,0.5,False
46,96372106,5,10637341,2,60,0.008963346481323242,27,46,19,38,35,38,3,38,0.5,False
47,96372106,5,10637342,2,60,0.07772064208984375,35,52,17,46,44,47,3,46,0.5,False
48,96372106,5,10637343,2,60,0.009960174560546875,30,53,23,38,38,38,0,38,0.5,False
49,96372106,5,10637344,2,60,0.027096271514892578,33,52,19,44,43,45,2,44,0.5,False
50,96372106,5,10637345,2,60,0.055852651596069336,48,79,31,64,62,64,2,64,0.5,False
