Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Communication
1,96372106,4,10637296,2,60,0.015808820724487305,33,48,15,40,38,40,2,40,0.5,False
2,96372106,4,10637297,2,60,0.004050254821777344,19,36,17,29,28,31,3,29,0.5,False
3,96372106,4,10637298,2,60,0.5227353572845459,35,57,22,46,44,47,3,46,0.5,False
4,96372106,4,10637299,2,60,0.014997243881225586,30,48,18,39,37,39,2,39,0.5,False
5,96372106,4,10637300,2,60,3.6304337978363037,42,60,18,51,49,54,5,50,0.5,False
6,96372106,4,10637301,2,60,0.047351837158203125,36,53,17,43,42,45,3,43,0.5,False
7,96372106,4,10637302,2,60,0.03794074058532715,42,68,26,55,52,55,3,55,0.5,False
8,96372106,4,10637303,2,60,0.0029993057250976562,23,41,18,31,28,33,5,31,0.5,False
9,96372106,4,10637304,2,60,0.016971588134765625,29,42,13,33,32,35,3,33,0.5,False
10,96372106,4,10637305,2,60,0.3439030647277832,34,52,18,39,39,39,0,39,0.5,False
11,96372106,4,10637306,2,60,0.004985332489013672,22,40,18,32,32,32,0,32,0.5,False
12,96372106,4,10637307,2,60,0.14699482917785645,43,61,18,55,52,56,4,54,0.5,False
13,96372106,4,10637308,2,60,0.0220184326171875,32,54,22,43,41,43,2,43,0.5,False
14,96372106,4,10637309,2,60,0.07907581329345703,35,50,15,40,40,42,2,40,0.5,False
15,96372106,4,10637310,2,60,5.762649297714233,49,73,24,60,57,60,3,59,0.5,False
16,96372106,4,10637311,2,60,0.004007577896118164,28,43,15,37,35,37,2,37,0.5,False
17,96372106,4,10637312,2,60,0.008979082107543945,26,48,22,37,34,42,8,37,0.5,False
18,96372106,4,10637313,2,60,0.8581593036651611,40,61,21,48,45,48,3,47,0.5,False
19,96372106,4,10637314,2,60,0.24880242347717285,39,55,16,50,46,51,5,49,0.5,False
20,96372106,4,10637315,2,60,0.0059833526611328125,28,51,23,35,35,39,4,35,0.5,False
21,96372106,4,10637316,2,60,0.05394792556762695,45,60,15,54,52,52,0,52,0.5,False
22,96372106,4,10637317,2,60,0.005980730056762695,29,45,16,37,36,37,1,37,0.5,False
23,96372106,4,10637318,2,60,0.007959842681884766,24,41,17,33,30,35,5,33,0.5,False
24,96372106,4,10637319,2,60,0.03791308403015137,33,55,22,45,45,49,4,45,0.5,False
25,96372106,4,10637320,2,60,0.0029730796813964844,19,32,13,27,27,27,0,27,0.5,False
26,96372106,4,10637321,2,60,0.003989219665527344,24,41,17,31,31,33,2,31,0.5,False
27,96372106,4,10637322,2,60,0.0049855709075927734,20,29,9,25,20,29,9,25,0.5,False
28,96372106,4,10637323,2,60,0.08667778968811035,34,56,22,43,42,44,2,42,0.5,False
29,96372106,4,10637324,2,60,0.015476465225219727,22,32,10,25,24,25,1,25,0.5,False
30,96372106,4,10637325,2,60,0.020238637924194336,23,36,13,30,28,32,4,30,0.5,False
31,96372106,4,10637326,2,60,0.4203805923461914,36,56,20,48,46,48,2,48,0.5,False
32,96372106,4,10637327,2,60,0.011982202529907227,32,43,11,34,34,34,0,34,0.5,False
33,96372106,4,10637328,2,60,0.02000117301940918,38,51,13,48,45,49,4,48,0.5,False
34,96372106,4,10637329,2,60,0.014040708541870117,28,41,13,33,31,36,5,33,0.5,False
35,96372106,4,10637330,2,60,0.004042863845825195,21,32,11,26,25,26,1,26,0.5,False
36,96372106,4,10637331,2,60,0.0039904117584228516,23,40,17,35,35,35,0,35,0.5,False
37,96372106,4,10637332,2,60,0.009892702102661133,25,36,11,32,29,31,2,30,0.5,False
38,96372106,4,10637333,2,60,0.02346014976501465,31,48,17,41,39,43,4,41,0.5,False
39,96372106,4,10637334,2,60,0.010030269622802734,29,46,17,38,37,40,3,38,0.5,False
40,96372106,4,10637335,2,60,0.001992464065551758,10,15,5,13,11,14,3,13,0.5,False
41,96372106,4,10637336,2,60,0.06023263931274414,44,67,23,53,51,56,5,53,0.5,False
42,96372106,4,10637337,2,60,0.03404736518859863,29,43,14,37,35,40,5,37,0.5,False
43,96372106,4,10637338,2,60,0.07483029365539551,39,54,15,45,43,47,4,45,0.5,False
44,96372106,4,10637339,2,60,0.038933515548706055,24,38,14,34,34,34,0,34,0.5,False
45,96372106,4,10637340,2,60,0.01396489143371582,32,51,19,37,37,40,3,37,0.5,False
46,96372106,4,10637341,2,60,0.002991199493408203,20,34,14,29,29,29,0,29,0.5,False
47,96372106,4,10637342,2,60,0.013961553573608398,26,40,14,32,32,33,1,32,0.5,False
48,96372106,4,10637343,2,60,0.003971576690673828,22,42,20,32,32,34,2,32,0.5,False
49,96372106,4,10637344,2,60,0.021919965744018555,27,45,18,37,35,41,6,37,0.5,False
50,96372106,4,10637345,2,60,0.01699995994567871,32,61,29,47,42,49,7,47,0.5,False
