Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Communication
1,96372106,5,10637296,2,60,0.019989013671875,41,61,20,52,50,52,2,52,0.75,False
2,96372106,5,10637297,2,60,0.016059398651123047,28,46,18,38,38,38,0,38,0.75,False
3,96372106,5,10637298,2,60,0.7272589206695557,44,69,25,55,55,55,0,55,0.75,False
4,96372106,5,10637299,2,60,0.7178013324737549,47,69,22,58,58,59,1,58,0.75,False
5,96372106,5,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
6,96372106,5,10637301,2,60,0.0498659610748291,38,56,18,51,51,51,0,51,0.75,False
7,96372106,5,10637302,2,60,0.34699559211730957,59,91,32,83,79,84,5,83,0.75,False
8,96372106,5,10637303,2,60,0.0059854984283447266,30,53,23,40,40,42,2,40,0.75,False
9,96372106,5,10637304,2,60,0.05985379219055176,37,52,15,45,44,45,1,45,0.75,False
10,96372106,5,10637305,2,60,0.24584650993347168,42,64,22,48,48,49,1,48,0.75,False
11,96372106,5,10637306,2,60,0.009006261825561523,36,66,30,49,49,50,1,49,0.75,False
12,96372106,5,10637307,2,60,0.14324188232421875,46,64,18,56,55,57,2,55,0.75,False
13,96372106,5,10637308,2,60,0.04517626762390137,38,61,23,48,48,48,0,48,0.75,False
14,96372106,5,10637309,2,60,0.08180761337280273,40,56,16,43,43,44,1,43,0.75,False
15,96372106,5,10637310,2,60,6.027016878128052,54,82,28,72,67,73,6,70,0.75,False
16,96372106,5,10637311,2,60,0.006050586700439453,36,58,22,47,46,49,3,47,0.75,False
17,96372106,5,10637312,2,60,0.03395342826843262,29,49,20,39,38,39,1,39,0.75,False
18,96372106,5,10637313,2,60,1.1529631614685059,45,68,23,53,53,54,1,53,0.75,False
19,96372106,5,10637314,2,60,0.2921128273010254,39,62,23,47,45,51,6,47,0.75,False
20,96372106,5,10637315,2,60,0.01798844337463379,40,72,32,47,47,50,3,47,0.75,False
21,96372106,5,10637316,2,60,0.06091475486755371,54,76,22,63,63,64,1,63,0.75,False
22,96372106,5,10637317,2,60,0.008014917373657227,35,52,17,42,42,42,0,42,0.75,False
23,96372106,5,10637318,2,60,0.015887022018432617,31,49,18,41,40,42,2,41,0.75,False
24,96372106,5,10637319,2,60,0.1439197063446045,42,73,31,62,60,62,2,62,0.75,False
25,96372106,5,10637320,2,60,0.034087181091308594,30,48,18,39,39,39,0,39,0.75,False
26,96372106,5,10637321,2,60,0.008956670761108398,30,50,20,44,42,44,2,44,0.75,False
27,96372106,5,10637322,2,60,0.34911680221557617,32,53,21,41,41,41,0,41,0.75,False
28,96372106,5,10637323,2,60,0.09106802940368652,40,62,22,51,49,50,1,50,0.75,False
29,96372106,5,10637324,2,60,0.015998125076293945,30,43,13,38,38,38,0,38,0.75,False
30,96372106,5,10637325,2,60,0.023839235305786133,29,44,15,41,37,40,3,40,0.75,False
31,96372106,5,10637326,2,60,0.4818243980407715,43,65,22,56,52,56,4,56,0.75,False
32,96372106,5,10637327,2,60,0.025007009506225586,41,64,23,52,50,52,2,52,0.75,False
33,96372106,5,10637328,2,60,0.0542755126953125,50,70,20,60,60,60,0,60,0.75,False
34,96372106,5,10637329,2,60,0.03861236572265625,41,63,22,54,53,56,3,54,0.75,False
35,96372106,5,10637330,2,60,0.004987001419067383,27,46,19,42,40,42,2,42,0.75,False
36,96372106,5,10637331,2,60,0.16228914260864258,27,50,23,38,37,39,2,38,0.75,False
37,96372106,5,10637332,2,60,0.22156548500061035,34,51,17,43,42,42,0,42,0.75,False
38,96372106,5,10637333,2,60,0.21184062957763672,41,60,19,53,52,53,1,53,0.75,False
39,96372106,5,10637334,2,60,0.013006925582885742,39,61,22,49,49,49,0,49,0.75,False
40,96372106,5,10637335,2,60,0.003001689910888672,17,23,6,23,22,23,1,23,0.75,False
41,96372106,5,10637336,2,60,0.09781551361083984,52,82,30,70,68,70,2,70,0.75,False
42,96372106,5,10637337,2,60,0.05892300605773926,34,50,16,45,45,45,0,45,0.75,False
43,96372106,5,10637338,2,60,0.07566595077514648,43,59,16,52,51,52,1,52,0.75,False
44,96372106,5,10637339,2,60,8.121338605880737,38,56,18,48,46,48,2,48,0.75,False
45,96372106,5,10637340,2,60,0.06888794898986816,35,60,25,48,46,48,2,48,0.75,False
46,96372106,5,10637341,2,60,0.009973764419555664,27,46,19,38,38,38,0,38,0.75,False
47,96372106,5,10637342,2,60,0.07706665992736816,35,52,17,46,45,47,2,46,0.75,False
48,96372106,5,10637343,2,60,0.009973287582397461,30,53,23,38,38,38,0,38,0.75,False
49,96372106,5,10637344,2,60,0.02792215347290039,33,52,19,44,44,44,0,44,0.75,False
50,96372106,5,10637345,2,60,0.06530022621154785,48,79,31,64,62,64,2,64,0.75,False
