Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,10,10637296,0,60,0.10661125183105469,0.1925792694091797,53,53,0,53,53,53,0,53,0.75,uniform,False
2,96372106,10,10637297,0,60,0.0624845027923584,0.18374037742614746,57,57,0,57,57,57,0,57,0.75,uniform,False
3,96372106,10,10637298,0,60,0.014856815338134766,0.06803369522094727,57,57,0,57,57,57,0,57,0.75,uniform,False
4,96372106,10,10637299,0,60,0.017567873001098633,0.05875730514526367,62,62,0,62,62,62,0,62,0.75,uniform,False
5,96372106,10,10637300,0,60,0.2552516460418701,0.32318806648254395,66,66,0,66,66,66,0,66,0.75,uniform,False
6,96372106,10,10637301,0,60,0.056731462478637695,0.08874654769897461,48,48,0,48,48,48,0,48,0.75,uniform,False
7,96372106,10,10637302,0,60,0.04311251640319824,0.13177204132080078,71,71,0,71,71,71,0,71,0.75,uniform,False
8,96372106,10,10637303,0,60,0.03209996223449707,0.06673097610473633,50,50,0,50,50,50,0,50,0.75,uniform,False
9,96372106,10,10637304,0,60,0.025256872177124023,0.05184221267700195,41,41,0,41,41,41,0,41,0.75,uniform,False
10,96372106,10,10637305,0,60,0.10476994514465332,0.09228992462158203,59,59,0,59,59,59,0,59,0.75,uniform,False
11,96372106,10,10637306,0,60,0.08174586296081543,0.12422657012939453,58,58,0,58,58,58,0,58,0.75,uniform,False
12,96372106,10,10637307,0,60,0.058515310287475586,0.1398012638092041,57,57,0,57,57,57,0,57,0.75,uniform,False
13,96372106,10,10637308,0,60,0.06403326988220215,0.07240986824035645,64,64,0,64,64,64,0,64,0.75,uniform,False
14,96372106,10,10637309,0,60,0.04528212547302246,0.08592367172241211,60,60,0,60,60,60,0,60,0.75,uniform,False
15,96372106,10,10637310,0,60,0.08249759674072266,0.1835639476776123,63,63,0,63,63,63,0,63,0.75,uniform,False
16,96372106,10,10637311,0,60,0.03779006004333496,0.08110976219177246,58,58,0,58,58,58,0,58,0.75,uniform,False
17,96372106,10,10637312,0,60,0.15461134910583496,0.3429749011993408,46,46,0,46,46,46,0,46,0.75,uniform,False
18,96372106,10,10637313,0,60,0.21756720542907715,0.44205665588378906,64,64,0,64,64,64,0,64,0.75,uniform,False
19,96372106,10,10637314,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
20,96372106,10,10637315,0,60,0.2307591438293457,0.6165728569030762,70,70,0,70,70,70,0,70,0.75,uniform,False
21,96372106,10,10637316,0,60,0.06363177299499512,0.13074779510498047,59,59,0,59,59,59,0,59,0.75,uniform,False
22,96372106,10,10637317,0,60,0.04231619834899902,0.11757040023803711,61,61,0,61,61,61,0,61,0.75,uniform,False
23,96372106,10,10637318,0,60,0.0093536376953125,0.022037267684936523,49,49,0,49,49,49,0,49,0.75,uniform,False
24,96372106,10,10637319,0,60,0.3443131446838379,0.5842163562774658,59,59,0,59,60,60,0,60,0.75,uniform,False
25,96372106,10,10637320,0,60,0.017621517181396484,0.0428462028503418,49,49,0,49,49,49,0,49,0.75,uniform,False
26,96372106,10,10637321,0,60,0.0989234447479248,0.10264110565185547,52,52,0,52,53,53,0,53,0.75,uniform,False
27,96372106,10,10637322,0,60,0.15208220481872559,0.2121899127960205,58,58,0,58,58,58,0,58,0.75,uniform,False
28,96372106,10,10637323,0,60,15.787102699279785,0.8347830772399902,67,67,0,67,69,69,0,69,0.75,uniform,False
29,96372106,10,10637324,0,60,0.022495508193969727,0.07962656021118164,45,45,0,45,45,45,0,45,0.75,uniform,False
30,96372106,10,10637325,0,60,0.23889613151550293,0.32073140144348145,49,49,0,49,49,49,0,49,0.75,uniform,False
31,96372106,10,10637326,0,60,0.039521217346191406,0.12382388114929199,57,57,0,57,57,57,0,57,0.75,uniform,False
32,96372106,10,10637327,0,60,0.005691051483154297,0.026159048080444336,51,51,0,51,51,51,0,51,0.75,uniform,False
33,96372106,10,10637328,0,60,2.551363945007324,1.6917905807495117,54,54,0,54,54,54,0,54,0.75,uniform,False
34,96372106,10,10637329,0,60,0.03496098518371582,0.08832836151123047,55,55,0,55,55,55,0,55,0.75,uniform,False
35,96372106,10,10637330,0,60,0.3289670944213867,0.30621957778930664,63,63,0,63,63,63,0,63,0.75,uniform,False
36,96372106,10,10637331,0,60,0.020803213119506836,0.06195807456970215,47,47,0,47,47,47,0,47,0.75,uniform,False
37,96372106,10,10637332,0,60,0.014946937561035156,0.04827404022216797,44,44,0,44,44,44,0,44,0.75,uniform,False
38,96372106,10,10637333,0,60,0.015152215957641602,0.03798556327819824,53,53,0,53,53,53,0,53,0.75,uniform,False
39,96372106,10,10637334,0,60,0.07893252372741699,0.1107795238494873,59,59,0,59,59,59,0,59,0.75,uniform,False
40,96372106,10,10637335,0,60,0.009501218795776367,0.021740436553955078,48,48,0,48,48,48,0,48,0.75,uniform,False
41,96372106,10,10637336,0,60,0.05087471008300781,0.14864826202392578,72,72,0,72,72,72,0,72,0.75,uniform,False
42,96372106,10,10637337,0,60,0.032446861267089844,0.09588432312011719,47,47,0,47,47,47,0,47,0.75,uniform,False
43,96372106,10,10637338,0,60,0.012523889541625977,0.03742671012878418,59,59,0,59,59,59,0,59,0.75,uniform,False
44,96372106,10,10637339,0,60,0.06708550453186035,0.270017147064209,67,67,0,67,69,69,0,69,0.75,uniform,False
45,96372106,10,10637340,0,60,0.4537954330444336,0.2235097885131836,54,54,0,54,54,54,0,54,0.75,uniform,False
46,96372106,10,10637341,0,60,0.016988515853881836,0.11779928207397461,50,50,0,50,50,50,0,50,0.75,uniform,False
47,96372106,10,10637342,0,60,0.5637385845184326,0.5346088409423828,57,57,0,57,57,57,0,57,0.75,uniform,False
48,96372106,10,10637343,0,60,0.023398160934448242,0.05342221260070801,52,52,0,52,52,52,0,52,0.75,uniform,False
49,96372106,10,10637344,0,60,0.13594794273376465,0.326920747756958,55,55,0,55,55,55,0,55,0.75,uniform,False
50,96372106,10,10637345,0,60,0.033473968505859375,0.14482498168945312,66,66,0,66,66,66,0,66,0.75,uniform,False
