Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,2,10637296,1,60,0.0005025863647460938,0.00225067138671875,14,23,9,20,20,20,0,20,1.0,uniform,Min Worst Case,False
2,96372106,2,10637297,1,60,0.0004069805145263672,0.0014736652374267578,12,15,3,14,14,14,0,14,1.0,uniform,Min Worst Case,False
3,96372106,2,10637298,1,60,0.0015780925750732422,0.002577066421508789,20,26,6,24,24,24,0,24,1.0,uniform,Min Worst Case,False
4,96372106,2,10637299,1,60,0.0031735897064208984,0.0022437572479248047,16,22,6,22,22,22,0,22,1.0,uniform,Min Worst Case,False
5,96372106,2,10637300,1,60,0.000499725341796875,0.0022516250610351562,15,18,3,18,18,18,0,18,1.0,uniform,Min Worst Case,False
6,96372106,2,10637301,1,60,0.0004172325134277344,0.0015003681182861328,11,19,8,15,15,15,0,15,1.0,uniform,Min Worst Case,False
7,96372106,2,10637302,1,60,0.0038979053497314453,0.0026311874389648438,18,25,7,20,20,20,0,20,1.0,uniform,Min Worst Case,False
8,96372106,2,10637303,1,60,0.0004935264587402344,0.0018084049224853516,13,18,5,18,18,18,0,18,1.0,uniform,Min Worst Case,False
9,96372106,2,10637304,1,60,0.002872943878173828,0.0020656585693359375,15,22,7,18,18,18,0,18,1.0,uniform,Min Worst Case,False
10,96372106,2,10637305,1,60,0.0011696815490722656,0.0021724700927734375,16,23,7,20,20,20,0,20,1.0,uniform,Min Worst Case,False
11,96372106,2,10637306,1,60,0.0002911090850830078,0.000995635986328125,6,12,6,9,9,9,0,9,1.0,uniform,Min Worst Case,False
12,96372106,2,10637307,1,60,0.0005292892456054688,0.0017306804656982422,14,25,11,20,20,20,0,20,1.0,uniform,Min Worst Case,False
13,96372106,2,10637308,1,60,0.00043487548828125,0.0018405914306640625,11,17,6,14,14,14,0,14,1.0,uniform,Min Worst Case,False
14,96372106,2,10637309,1,60,0.0025451183319091797,0.002460479736328125,18,27,9,19,19,19,0,19,1.0,uniform,Min Worst Case,False
15,96372106,2,10637310,1,60,0.0005445480346679688,0.002088308334350586,13,23,10,17,17,17,0,17,1.0,uniform,Min Worst Case,False
16,96372106,2,10637311,1,60,0.00031948089599609375,0.0007953643798828125,9,12,3,10,10,10,0,10,1.0,uniform,Min Worst Case,False
17,96372106,2,10637312,1,60,0.00039577484130859375,0.0013933181762695312,10,14,4,11,11,11,0,11,1.0,uniform,Min Worst Case,False
18,96372106,2,10637313,1,60,0.0004947185516357422,0.001863241195678711,14,21,7,16,16,16,0,16,1.0,uniform,Min Worst Case,False
19,96372106,2,10637314,1,60,0.0038530826568603516,0.0019762516021728516,16,20,4,17,17,17,0,17,1.0,uniform,Min Worst Case,False
20,96372106,2,10637315,1,60,0.00036454200744628906,0.0012748241424560547,10,17,7,15,15,15,0,15,1.0,uniform,Min Worst Case,False
21,96372106,2,10637316,1,60,0.0005819797515869141,0.0020821094512939453,16,27,11,24,24,24,0,24,1.0,uniform,Min Worst Case,False
22,96372106,2,10637317,1,60,0.0003905296325683594,0.0014154911041259766,12,16,4,14,14,14,0,14,1.0,uniform,Min Worst Case,False
23,96372106,2,10637318,1,60,0.0003936290740966797,0.0016477108001708984,10,15,5,14,14,14,0,14,1.0,uniform,Min Worst Case,False
24,96372106,2,10637319,1,60,0.0005271434783935547,0.0018608570098876953,16,24,8,20,20,20,0,20,1.0,uniform,Min Worst Case,False
25,96372106,2,10637320,1,60,0.0002963542938232422,0.001003265380859375,7,10,3,9,9,9,0,9,1.0,uniform,Min Worst Case,False
26,96372106,2,10637321,1,60,0.0003445148468017578,0.001043081283569336,13,15,2,13,13,13,0,13,1.0,uniform,Min Worst Case,False
27,96372106,2,10637322,1,60,0.0006814002990722656,0.0010247230529785156,8,10,2,10,10,10,0,10,1.0,uniform,Min Worst Case,False
28,96372106,2,10637323,1,60,0.0006210803985595703,0.0033686161041259766,18,24,6,20,20,20,0,20,1.0,uniform,Min Worst Case,False
29,96372106,2,10637324,1,60,0.00021266937255859375,0.0006330013275146484,5,6,1,6,6,6,0,6,1.0,uniform,Min Worst Case,False
30,96372106,2,10637325,1,60,0.0004558563232421875,0.0015871524810791016,10,17,7,13,13,13,0,13,1.0,uniform,Min Worst Case,False
31,96372106,2,10637326,1,60,0.00046253204345703125,0.0015902519226074219,12,16,4,15,15,15,0,15,1.0,uniform,Min Worst Case,False
32,96372106,2,10637327,1,60,0.0008893013000488281,0.0011248588562011719,11,15,4,11,11,11,0,11,1.0,uniform,Min Worst Case,False
33,96372106,2,10637328,1,60,0.0009593963623046875,0.0014560222625732422,12,18,6,14,14,14,0,14,1.0,uniform,Min Worst Case,False
34,96372106,2,10637329,1,60,0.00029397010803222656,0.0009748935699462891,7,13,6,11,11,11,0,11,1.0,uniform,Min Worst Case,False
35,96372106,2,10637330,1,60,0.00025153160095214844,0.0006954669952392578,7,8,1,7,7,7,0,7,1.0,uniform,Min Worst Case,False
36,96372106,2,10637331,1,60,0.0004980564117431641,0.001554727554321289,13,21,8,17,17,17,0,17,1.0,uniform,Min Worst Case,False
37,96372106,2,10637332,1,60,0.00036334991455078125,0.001932382583618164,9,12,3,10,10,10,0,10,1.0,uniform,Min Worst Case,False
38,96372106,2,10637333,1,60,0.0003743171691894531,0.0017745494842529297,11,16,5,12,12,12,0,12,1.0,uniform,Min Worst Case,False
39,96372106,2,10637334,1,60,0.00038361549377441406,0.0014963150024414062,11,17,6,14,14,14,0,14,1.0,uniform,Min Worst Case,False
40,96372106,2,10637335,1,60,0.00012254714965820312,0.0002524852752685547,2,2,0,2,2,2,0,2,1.0,uniform,Min Worst Case,False
41,96372106,2,10637336,1,60,0.0005404949188232422,0.002417325973510742,17,22,5,19,19,19,0,19,1.0,uniform,Min Worst Case,False
42,96372106,2,10637337,1,60,0.0017232894897460938,0.0015666484832763672,14,21,7,19,19,19,0,19,1.0,uniform,Min Worst Case,False
43,96372106,2,10637338,1,60,0.0013341903686523438,0.002829313278198242,16,26,10,20,20,20,0,20,1.0,uniform,Min Worst Case,False
44,96372106,2,10637339,1,60,0.0030052661895751953,0.0015785694122314453,10,12,2,11,11,11,0,11,1.0,uniform,Min Worst Case,False
45,96372106,2,10637340,1,60,0.0004744529724121094,0.0015423297882080078,13,20,7,16,16,16,0,16,1.0,uniform,Min Worst Case,False
46,96372106,2,10637341,1,60,0.00047206878662109375,0.0015823841094970703,11,16,5,15,15,15,0,15,1.0,uniform,Min Worst Case,False
47,96372106,2,10637342,1,60,0.00024366378784179688,0.0003705024719238281,9,9,0,9,9,9,0,9,1.0,uniform,Min Worst Case,False
48,96372106,2,10637343,1,60,0.00038313865661621094,0.001184701919555664,10,15,5,14,14,14,0,14,1.0,uniform,Min Worst Case,False
49,96372106,2,10637344,1,60,0.0005207061767578125,0.0016567707061767578,13,19,6,17,17,17,0,17,1.0,uniform,Min Worst Case,False
50,96372106,2,10637345,1,60,0.0012791156768798828,0.0025277137756347656,18,26,8,21,21,21,0,21,1.0,uniform,Min Worst Case,False
