Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
20,96372106,6,10637315,0,60,0.13734149932861328,0.09593462944030762,1375,1375,0,1375,1375,1375,0,1375,0.0,max,Min Worst Case,False,1375,1375
21,96372106,6,10637316,0,60,0.0688788890838623,0.05631661415100098,726,726,0,726,726,726,0,726,0.0,max,Min Worst Case,False,726,726
22,96372106,6,10637317,0,60,0.9104135036468506,0.09472107887268066,1184,1184,0,1184,1184,1184,0,1184,0.0,max,Min Worst Case,False,1182,1182
23,96372106,6,10637318,0,60,0.03377890586853027,0.05739450454711914,742,742,0,742,742,742,0,742,0.0,max,Min Worst Case,False,742,742
24,96372106,6,10637319,0,60,0.04694175720214844,0.07718920707702637,869,869,0,869,869,869,0,869,0.0,max,Min Worst Case,False,869,869
25,96372106,6,10637320,0,60,0.33016467094421387,0.09194827079772949,995,995,0,995,995,995,0,995,0.0,max,Min Worst Case,False,993,993
26,96372106,6,10637321,0,60,0.08017373085021973,0.05424046516418457,845,845,0,845,845,845,0,845,0.0,max,Min Worst Case,False,845,845
27,96372106,6,10637322,0,60,0.22716903686523438,0.04562115669250488,702,702,0,702,702,702,0,702,0.0,max,Min Worst Case,False,700,700
28,96372106,6,10637323,0,60,0.13314247131347656,0.08765959739685059,999,999,0,999,999,999,0,999,0.0,max,Min Worst Case,False,999,999
29,96372106,6,10637324,0,60,1.7018887996673584,0.07985734939575195,655,655,0,655,655,655,0,655,0.0,max,Min Worst Case,False,655,655
30,96372106,6,10637325,0,60,0.11386895179748535,0.09445691108703613,1059,1059,0,1059,1059,1059,0,1059,0.0,max,Min Worst Case,False,1059,1059
31,96372106,6,10637326,0,60,20.5788676738739,0.07251644134521484,1131,1131,0,1131,1131,1131,0,1131,0.0,max,Min Worst Case,False,1129,1129
32,96372106,6,10637327,0,60,0.0875234603881836,0.09203696250915527,1014,1014,0,1014,1014,1014,0,1014,0.0,max,Min Worst Case,False,1014,1014
33,96372106,6,10637328,0,60,0.07479071617126465,0.07084989547729492,870,870,0,870,870,870,0,870,0.0,max,Min Worst Case,False,870,870
34,96372106,6,10637329,0,60,0.15981149673461914,0.0988764762878418,931,931,0,931,931,931,0,931,0.0,max,Min Worst Case,False,931,931
35,96372106,6,10637330,0,60,0.23914003372192383,0.09172368049621582,1360,1360,0,1360,1360,1360,0,1360,0.0,max,Min Worst Case,False,1360,1360
36,96372106,6,10637331,0,60,0.2509574890136719,0.09216189384460449,1392,1392,0,1392,1392,1392,0,1392,0.0,max,Min Worst Case,False,1392,1392
37,96372106,6,10637332,0,60,0.029295921325683594,0.048659324645996094,771,771,0,771,771,771,0,771,0.0,max,Min Worst Case,False,771,771
38,96372106,6,10637333,0,60,0.07139277458190918,0.0878903865814209,1027,1027,0,1027,1027,1027,0,1027,0.0,max,Min Worst Case,False,1027,1027
39,96372106,6,10637334,0,60,0.10254740715026855,0.06419897079467773,831,831,0,831,831,831,0,831,0.0,max,Min Worst Case,False,831,831
40,96372106,6,10637335,0,60,0.07947587966918945,0.06169891357421875,779,779,0,779,779,779,0,779,0.0,max,Min Worst Case,False,779,779
41,96372106,6,10637336,0,60,0.05132174491882324,0.04758310317993164,581,581,0,581,581,581,0,581,0.0,max,Min Worst Case,False,581,581
42,96372106,6,10637337,0,60,0.04926586151123047,0.059546470642089844,690,690,0,690,690,690,0,690,0.0,max,Min Worst Case,False,690,690
43,96372106,6,10637338,0,60,0.1054840087890625,0.07229471206665039,839,839,0,839,839,839,0,839,0.0,max,Min Worst Case,False,839,839
44,96372106,6,10637339,0,60,0.02554035186767578,0.045033931732177734,617,617,0,617,617,617,0,617,0.0,max,Min Worst Case,False,617,617
45,96372106,6,10637340,0,60,0.8220667839050293,0.051126718521118164,981,981,0,981,981,981,0,981,0.0,max,Min Worst Case,False,979,979
46,96372106,6,10637341,0,60,0.07085824012756348,0.03584003448486328,745,745,0,745,745,745,0,745,0.0,max,Min Worst Case,False,745,745
47,96372106,6,10637342,0,60,0.6572568416595459,0.06426477432250977,1084,1084,0,1084,1084,1084,0,1084,0.0,max,Min Worst Case,False,1083,1083
48,96372106,6,10637343,0,60,0.01906299591064453,0.021756410598754883,534,534,0,534,534,534,0,534,0.0,max,Min Worst Case,False,534,534
49,96372106,6,10637344,0,60,0.07534289360046387,0.052367448806762695,827,827,0,827,827,827,0,827,0.0,max,Min Worst Case,False,827,827
50,96372106,6,10637345,0,60,0.9948813915252686,0.046874046325683594,811,811,0,811,811,811,0,811,0.0,max,Min Worst Case,False,809,809
