Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,6,10637296,1,60,0.1216745376586914,1.679508924484253,249,330,81,295,292,292,0,292,1.0,uniform,Min Worst Case,True,245,328
2,96372106,6,10637297,1,60,0.043886661529541016,1.134964942932129,257,317,60,290,290,290,0,290,1.0,uniform,Min Worst Case,True,257,320
3,96372106,6,10637298,1,60,0.29020261764526367,3.1515398025512695,236,301,65,267,267,267,0,267,1.0,uniform,Min Worst Case,True,229,297
4,96372106,6,10637299,1,60,0.04092741012573242,0.9794182777404785,216,275,59,249,248,248,0,248,1.0,uniform,Min Worst Case,True,215,278
5,96372106,6,10637300,1,60,1.5857608318328857,9.136534690856934,283,351,68,322,323,323,0,323,1.0,uniform,Min Worst Case,True,281,346
6,96372106,6,10637301,1,60,0.008941650390625,0.4398064613342285,196,241,45,218,218,218,0,218,1.0,uniform,Min Worst Case,True,196,241
7,96372106,6,10637302,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,Min Worst Case,True,-1,-1
8,96372106,6,10637303,1,60,0.014986276626586914,0.3500688076019287,184,228,44,202,201,201,0,201,1.0,uniform,Min Worst Case,True,183,227
9,96372106,6,10637304,1,60,0.0069811344146728516,0.19946837425231934,153,191,38,171,171,171,0,171,1.0,uniform,Min Worst Case,True,153,191
10,96372106,6,10637305,1,60,0.6592185497283936,3.731997489929199,249,310,61,278,275,275,0,275,1.0,uniform,Min Worst Case,True,240,308
11,96372106,6,10637306,1,60,0.010970830917358398,0.3301107883453369,169,207,38,186,186,186,0,186,1.0,uniform,Min Worst Case,True,169,208
12,96372106,6,10637307,1,60,5.000628709793091,14.801485538482666,268,338,70,307,307,307,0,307,1.0,uniform,Min Worst Case,True,262,322
13,96372106,6,10637308,1,60,0.0967416763305664,16.66944670677185,264,331,67,304,303,303,0,303,1.0,uniform,Min Worst Case,True,263,331
14,96372106,6,10637309,1,60,0.033927202224731445,0.9836752414703369,241,307,66,276,276,276,0,276,1.0,uniform,Min Worst Case,True,241,312
15,96372106,6,10637310,1,60,0.7968704700469971,8.31972622871399,180,221,41,200,199,199,0,199,1.0,uniform,Min Worst Case,True,175,222
16,96372106,6,10637311,1,60,0.05283021926879883,1.3125386238098145,190,239,49,213,213,213,0,213,1.0,uniform,Min Worst Case,True,189,244
17,96372106,6,10637312,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,Min Worst Case,True,-1,-1
18,96372106,6,10637313,1,60,0.20652389526367188,3.192488193511963,304,387,83,341,340,340,0,340,1.0,uniform,Min Worst Case,True,299,393
