Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,6,10637296,1,60,0.11070394515991211,1.3942716121673584,249,330,81,249,246,246,0,246,1.0,min,Min Best Case,True,245,328
2,96372106,6,10637297,1,60,0.037899017333984375,1.1499087810516357,257,317,60,257,257,257,0,257,1.0,min,Min Best Case,True,257,320
3,96372106,6,10637298,1,60,1.138953685760498,3.4567008018493652,236,301,65,236,236,236,0,236,1.0,min,Min Best Case,True,229,297
4,96372106,6,10637299,1,60,0.04089069366455078,1.2825720310211182,216,275,59,216,215,215,0,215,1.0,min,Min Best Case,True,215,278
5,96372106,6,10637300,1,60,1.3164782524108887,7.736345291137695,283,351,68,283,283,283,0,283,1.0,min,Min Best Case,True,281,346
6,96372106,6,10637301,1,60,0.008971452713012695,0.6443126201629639,196,241,45,196,196,196,0,196,1.0,min,Min Best Case,True,196,241
7,96372106,6,10637302,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Best Case,True,-1,-1
8,96372106,6,10637303,1,60,0.012964725494384766,0.38400936126708984,184,228,44,184,183,183,0,183,1.0,min,Min Best Case,True,183,227
9,96372106,6,10637304,1,60,0.0060138702392578125,0.15857553482055664,153,191,38,153,153,153,0,153,1.0,min,Min Best Case,True,153,191
10,96372106,6,10637305,1,60,4.454089879989624,5.28486967086792,245,307,62,245,245,245,0,245,1.0,min,Min Best Case,True,240,308
11,96372106,6,10637306,1,60,0.011949300765991211,0.41383814811706543,169,207,38,169,169,169,0,169,1.0,min,Min Best Case,True,169,208
12,96372106,6,10637307,1,60,0.1815030574798584,9.989326000213623,268,338,70,268,268,268,0,268,1.0,min,Min Best Case,True,262,322
13,96372106,6,10637308,1,60,0.029871463775634766,29.37256693840027,264,331,67,264,263,263,0,263,1.0,min,Min Best Case,True,263,331
14,96372106,6,10637309,1,60,0.04088902473449707,0.7071282863616943,241,307,66,241,241,241,0,241,1.0,min,Min Best Case,True,241,312
15,96372106,6,10637310,1,60,0.3839719295501709,7.548888206481934,178,225,47,178,179,179,0,179,1.0,min,Min Best Case,True,175,222
16,96372106,6,10637311,1,60,0.05487871170043945,1.4381561279296875,190,239,49,190,190,190,0,190,1.0,min,Min Best Case,True,189,244
17,96372106,6,10637312,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Best Case,True,-1,-1
18,96372106,6,10637313,1,60,8.484314203262329,2.0036065578460693,304,387,83,304,302,302,0,302,1.0,min,Min Best Case,True,299,393
19,96372106,6,10637314,1,60,0.12566304206848145,1.3344688415527344,258,325,67,258,258,258,0,258,1.0,min,Min Best Case,True,257,328
20,96372106,6,10637315,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Best Case,True,-1,-1
21,96372106,6,10637316,1,60,0.05379605293273926,3.146552085876465,279,358,79,279,281,281,0,281,1.0,min,Min Best Case,True,277,355
22,96372106,6,10637317,1,60,0.02593064308166504,0.8576714992523193,232,302,70,232,234,234,0,234,1.0,min,Min Best Case,True,232,303
23,96372106,6,10637318,1,60,0.005959272384643555,0.22140741348266602,138,171,33,138,138,138,0,138,1.0,min,Min Best Case,True,138,171
24,96372106,6,10637319,1,60,0.01598358154296875,0.7619624137878418,188,237,49,188,188,188,0,188,1.0,min,Min Best Case,True,187,233
25,96372106,6,10637320,1,60,0.010975837707519531,0.9694039821624756,243,299,56,243,243,243,0,243,1.0,min,Min Best Case,True,243,299
26,96372106,6,10637321,1,60,0.6073622703552246,6.204411268234253,231,293,62,231,228,228,0,228,1.0,min,Min Best Case,True,224,284
27,96372106,6,10637322,1,60,0.00892186164855957,0.5036523342132568,174,222,48,174,174,174,0,174,1.0,min,Min Best Case,True,174,222
28,96372106,6,10637323,1,60,0.044879913330078125,1.358367919921875,281,356,75,281,281,281,0,281,1.0,min,Min Best Case,True,280,355
29,96372106,6,10637324,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Best Case,True,-1,-1
30,96372106,6,10637325,1,60,1.4052245616912842,12.700075387954712,248,313,65,248,251,251,0,251,1.0,min,Min Best Case,True,244,314
31,96372106,6,10637326,1,60,0.005983829498291016,0.1546039581298828,151,202,51,151,151,151,0,151,1.0,min,Min Best Case,True,151,202
32,96372106,6,10637327,1,60,0.0359039306640625,0.7300488948822021,263,327,64,263,263,263,0,263,1.0,min,Min Best Case,True,258,323
33,96372106,6,10637328,1,60,0.007979154586791992,0.26429319381713867,193,249,56,193,193,193,0,193,1.0,min,Min Best Case,True,193,249
34,96372106,6,10637329,1,60,0.02991962432861328,0.4118978977203369,167,205,38,167,166,166,0,166,1.0,min,Min Best Case,True,163,204
35,96372106,6,10637330,1,60,0.1266331672668457,2.148293972015381,147,181,34,147,146,146,0,146,1.0,min,Min Best Case,True,144,173
36,96372106,6,10637331,1,60,0.017951250076293945,0.2962310314178467,204,258,54,204,205,205,0,205,1.0,min,Min Best Case,True,204,257
37,96372106,6,10637332,1,60,0.06283116340637207,1.2376916408538818,205,254,49,205,203,203,0,203,1.0,min,Min Best Case,True,203,253
38,96372106,6,10637333,1,60,0.010970115661621094,0.4667518138885498,233,299,66,233,233,233,0,233,1.0,min,Min Best Case,True,233,299
39,96372106,6,10637334,1,60,0.06582427024841309,2.5062994956970215,229,288,59,229,227,227,0,227,1.0,min,Min Best Case,True,225,282
40,96372106,6,10637335,1,60,1.1658821105957031,13.214722394943237,202,257,55,202,201,201,0,201,1.0,min,Min Best Case,True,198,253
41,96372106,6,10637336,1,60,0.008975982666015625,0.43079113960266113,215,269,54,215,215,215,0,215,1.0,min,Min Best Case,True,215,269
42,96372106,6,10637337,1,60,0.007979869842529297,0.20844078063964844,136,182,46,136,136,136,0,136,1.0,min,Min Best Case,True,136,182
43,96372106,6,10637338,1,60,0.05584859848022461,1.2287003993988037,201,262,61,201,202,202,0,202,1.0,min,Min Best Case,True,200,260
44,96372106,6,10637339,1,60,0.013985872268676758,0.8946080207824707,280,360,80,280,280,280,0,280,1.0,min,Min Best Case,True,280,360
45,96372106,6,10637340,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Best Case,True,-1,-1
46,96372106,6,10637341,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Best Case,True,-1,-1
47,96372106,6,10637342,1,60,0.025930166244506836,0.6043829917907715,236,305,69,236,238,238,0,238,1.0,min,Min Best Case,True,235,300
48,96372106,6,10637343,1,60,0.21642136573791504,3.3540351390838623,235,287,52,235,235,235,0,235,1.0,min,Min Best Case,True,231,279
49,96372106,6,10637344,1,60,0.020914316177368164,0.3830101490020752,172,224,52,172,172,172,0,172,1.0,min,Min Best Case,True,171,226
50,96372106,6,10637345,1,60,0.0827789306640625,1.4022512435913086,305,385,80,305,304,304,0,304,1.0,min,Min Best Case,True,303,381
