Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,3,10637296,0,60,0.007029294967651367,0.006051540374755859,100,100,0,100,100,100,0,100,0.0,min,Min Worst Case,True
2,96372106,3,10637297,0,60,0.003989458084106445,0.003998756408691406,101,101,0,101,101,101,0,101,0.0,min,Min Worst Case,True
3,96372106,3,10637298,0,60,0.006981611251831055,0.0049896240234375,90,90,0,90,90,90,0,90,0.0,min,Min Worst Case,True
4,96372106,3,10637299,0,60,0.006980180740356445,0.003984928131103516,77,77,0,77,77,77,0,77,0.0,min,Min Worst Case,True
5,96372106,3,10637300,0,60,0.0069811344146728516,0.004986763000488281,116,116,0,116,116,116,0,116,0.0,min,Min Worst Case,True
6,96372106,3,10637301,0,60,0.054854393005371094,0.00798654556274414,93,93,0,93,93,93,0,93,0.0,min,Min Worst Case,True
7,96372106,3,10637302,0,60,0.003989458084106445,0.0030329227447509766,57,57,0,57,57,57,0,57,0.0,min,Min Worst Case,True
8,96372106,3,10637303,0,60,0.001994609832763672,0.0019981861114501953,47,47,0,47,47,47,0,47,0.0,min,Min Worst Case,True
9,96372106,3,10637304,0,60,0.0019953250885009766,0.0019927024841308594,56,56,0,56,56,56,0,56,0.0,min,Min Worst Case,True
10,96372106,3,10637305,0,60,0.003991603851318359,0.004973411560058594,92,92,0,92,92,92,0,92,0.0,min,Min Worst Case,True
11,96372106,3,10637306,0,60,0.0019140243530273438,0.002991914749145508,55,55,0,55,55,55,0,55,0.0,min,Min Worst Case,True
12,96372106,3,10637307,0,60,0.0039899349212646484,0.006981611251831055,94,94,0,94,94,94,0,94,0.0,min,Min Worst Case,True
13,96372106,3,10637308,0,60,0.0049896240234375,0.00801229476928711,132,132,0,132,132,132,0,132,0.0,min,Min Worst Case,True
14,96372106,3,10637309,0,60,0.0010318756103515625,0.0020668506622314453,35,35,0,35,35,35,0,35,0.0,min,Min Worst Case,True
15,96372106,3,10637310,0,60,0.00797891616821289,0.003996610641479492,109,109,0,109,109,109,0,109,0.0,min,Min Worst Case,True
16,96372106,3,10637311,0,60,0.0019974708557128906,0.002990245819091797,62,62,0,62,62,62,0,62,0.0,min,Min Worst Case,True
17,96372106,3,10637312,0,60,0.004982948303222656,0.004983425140380859,135,135,0,135,135,135,0,135,0.0,min,Min Worst Case,True
18,96372106,3,10637313,0,60,0.005927085876464844,0.00698089599609375,155,155,0,155,155,155,0,155,0.0,min,Min Worst Case,True
